Symbol,Security ID,Error
011NSETEST,14747,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
021NSETEST,14751,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
031NSETEST,14753,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
041NSETEST,14755,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
051NSETEST,14758,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
061NSETEST,14762,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
071NSETEST,14764,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
081NSETEST,14767,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
091NSETEST,14769,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
101NSETEST,14772,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
111NSETEST,14774,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
121NSETEST,14777,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
131NSETEST,14778,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
141NSETEST,14781,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
151NSETEST,14782,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
161NSETEST,14784,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
171NSETEST,23446,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
181NSETEST,23447,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
360ONE,13061,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
ABB,13,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
ABCAPITAL,21614,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
ADANIENSOL,10217,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
ADANIENT,25,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
ADANIGREEN,3563,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
ADANIPORTS,15083,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
ADANIPOWER,17388,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
ALKEM,11703,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
AMBER,1185,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
AMBUJACEM,1270,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
ANGELONE,324,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
APLAPOLLO,25780,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
APOLLOHOSP,157,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
ASHOKLEY,212,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
ASIANPAINT,236,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
ASTRAL,14418,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
AUBANK,21238,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
AUROPHARMA,275,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
AXISBANK,5900,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
BAJAJ-AUTO,16669,"HTTP 401: {""errorType"":""Invalid_Authentication"",""errorCode"":""DH-901"",""errorMessage"":""Client ID or user generated access token is invalid or expired.""}"
